EVENT_NUMBER,NETWORK_TYPE_TOP,ORG_SEVERITY,REGION_NAME,CITY_NAME,ALARM_SOURCE,EQP_LABEL,EQP_OBJECT_CLASS,VENDOR_NAME,VENDOR_ID,LOCATE_INFO,NETWORK_TYPE,EQP_OBJECT_NAME,ORDER_TIME,MAINTAIN_TEAM,MAIN_NET_SORT_ONE,MAIN_NET_SORT_TWO,MAIN_NET_SORT_THREE,NETWORK_SUB_TYPE_NAME,NETWORK_TYPE_NAME,EVENT_SOURCE,EVENT_STANDARD_FLAG,EVENT_NAME,ALARM_NAME,EVENT_STANDARD_NAME,EVENT_STANDARD_ID,ALARM_STANDARD_NAME,ALARM_STANDARD_ID,ALARM_LEVEL,EVENT_TIME,CREATION_EVENT_TIME,TIME_STAMP,CANCEL_TIME,FP0_FP1_FP2_FP3,ORDER_ID,ORG_FP0_FP1_FP2_FP3,CFP0_CFP1_CFP2_CFP3,REDEFINE_SEVERITY,TYPE_KEYCODE,NE_LOCATION,SITE_TYPE,SUB_ALARM_TYPE,EVENT_CAT,TIME_STAMP_C,OBJECT_CLASS,BUSINESS_SYSTEM,IS_MATCH_DISPATCH_RULES,START_TIME,DISPATCH_TYPE,PROCESS_STATE,END_TIME,DISPATCH_LEVEL,ORDER_STATUS,DISPATCH_REASON,RULE_ID,DELAY_TIME,PORT_NUM,NE_ADMIN_STATUS,IS_RELATED,IS_ROOT,ROOT_EVENT_FP,EVENT_EXPLANATION,EVENT_SUMMARY,FAULT_DIAGNOSIS,EVENT_EFFECT,EVENT_REASON,MACHINE_ROOM_INFO,SERVICE_EFFECT_STATUS,EVENT_ROOT_CATEGORY,REMOTE_OBJECT_CLASS,RELATED_MAINTAIN_GROUP,ASSIGN_TENANCE_GROUP,BUSINESS_LEVEL,REMOTE_EQUIPMENT_NAME,FAULT_TYPE_ID,FAULT_SUB_TYPE_ID,IS_EFFECT_BUSINESS,SERV_EFFECT_TYPE,ROOT_NETWORK_TYPE_TOP,EVENT_ROOT_CATEGORY_ID,JT_DISPATCH_STATUS_ID,JT_DISPATCH_STATUS_DESC,ORDER_TYPE,AUTO_RECEIPT_RULE_NAME,AUTO_RECEIPT_STATE,AUTO_RECEIPT_REASON,CANCEL_COLLECT_TIME,REMOTE_BUSINESS_LAYER_NAME,LINE_BUSINESS_LAYER_NAME,MACHINE_ROOM_GRADE,PROJ_INTERFERENCE_FLAG,PROJ_INTERFERENCE_TYPE,ALARM_RESOURCE_STATUS,PROJ_END_TIME,PROJ_START_TIME,PROJ_OA_FILE_ID,PROJ_OA_FILE_CONTENT,PROJ_NAME,EVENT_TYPE_ID,INTERFERENCE_FLAG,MASTER_EVENT_FP,BUSINESS_LAYER_NAME,ROOM_ID,MAINTAIN_TEAM_SOURCE,TRANSFER_STATUS,WARNING_INFO_RULE_ID,WARNING_INFO_RECOVERY_DELAY_TIME,WARNING_INFO_WARNING_REASON,WARNING_INFO_RULE_NAME,WARNING_INFO_WARNING_TYPE,WARNING_INFO_DISPATCH_DELAY_TIME,WARNING_INFO_WARNING_PLAN_RULE_NAME,WARNING_INFO_PROCESS_STATE,WARNING_INFO_RULE_TYPE,WARNING_INFO_PROCESS_TYPE,WARNING_INFO_PLAN_ID,WARNING_INFO_ORDER_STATUS,WARNING_INFO_DISPATCH_FLAG,WARNING_INFO_WARNING_LEVEL,WARNING_INFO_PROCESSING_TIME,WARNING_INFO_ORDER_TIME,WARNING_INFO_SMART_WARNING_ID,WARNING_INFO_ONE_WARNING_ID,DISPATCH_NIGHT,IS_MATCH_WARNING_RULES,SERVICE_ASSURANCE_LEVEL,CIRCUIT_LEVEL,GCSS_SERVICE_NUM,DATA_SOURCE_FLAG,RECOGNITION_RULE_NAME,IS_CROSS_DOMAIN
事件ID,一级专业ID,事件等级ID,地市,县市,告警来源,网元名称,设备类型ID,设备厂家名称,设备厂家ID,事件定位信息,二级专业ID,设备类型,工单派单时间,主派维护组,网络一级分类,网络二级分类,网络三级分类,二级专业名称,一级专业名称,事件来源,事件标准化标识,事件标题,告警标题,事件标准名,事件标准ID,告警标准名,告警标准ID,网管告警级别,事件发生时间,事件发现时间,事件发现时间-亿阳,事件清除时间,事件流水号,工单号,亿阳事件流水号,事件清除FP,省内网管告警级别,类别关键字,设备定位信息,站点类型,事件子类型,事件描述,事件清除发现时间,告警对象设备类型,业务系统,是否符合派单规则,派单开始时间,派单方式,流程状态,派单结束时间,省内派单级别,派单状态,派单描述信息,派单规则ID,延迟时间,采集端口号,告警对象管理状态,是否子事件,是否根事件,关联根事件FP,事件扩展信息,预处理步骤及结果,故障初判,事件影响,事件定界定位,机房信息,影响业务情况,故障根因分类,对端设备类型,抄送维护组,分派维护组,业务层级,对端设备名称,故障类型,故障子类型,是否影响业务,影响业务类型,根因专业,根因专业ID,集团派单状态ID,集团派单状态描述,工单类型,自动回单规则名称,自动回单状态,自动回单描述信息,清除发现时间,对端业务层级,线路层级,机房信息,干扰标识,干扰描述,告警工程状态,工程结束时间,工程开始时间,网元工程公文号,网元工程公文正文,工程名,事件类型,干扰标识,顶级主事件FP,业务层级,机房CUID,主派维护组来源,通知单转处理单标识,预警相关字段-预警规则ID,预警相关字段-预警恢复时延,预警相关字段-预警处理描述,预警相关字段-预警规则名称,预警相关字段-预警调度类型,预警相关字段-预警派发延迟,预警预处理规则名称,预警相关字段-预警处理状态,预警相关字段-预警规则类型,预警相关字段-预警PROCESS_TYPE,预警相关字段-预案规则ID,预警相关字段-预警派发状态,预警相关字段-DISPATCH_FLAG,预警相关字段-预警等级,预警相关字段-预警处理时限,预警相关字段-预警派发时间,预警相关字段-事件预警号,预警相关字段-自研告警预警号,夜间派单标识,是否匹配预警规则,业务保障等级,电路级别,影响集客条数,数据来源事件可派单事件,事件识别规则,事件识别规则
722267193,5,4,龙岩市,武平县,高兴新动力环境告警(旧),龙岩武平城厢下东一楼山头机房-开关电源-1,30014,高新兴,771,基站_龙岩市_全业务基站/汇聚节点_武平县_中兴开关电源,500,开关电源,,龙岩武平县城网格综合基站维护组1,电源和配套设备,机房动环,开关电源,动环,动环,3,2,汇聚（普通汇聚）-汇聚类动环整流模块故障超门限（2）,整流模块XX故障告警,动环整流模块故障事件,WLSJ-WL-DH-04-80-7042,整流模块XX故障告警,0500-009-006-10-000096,,2026/4/10 12:56,2026/4/10 12:55,,2026/4/10 12:57,2209371681_3760530914_1971597432_1293572136_2_0480704201,,1491569070_626489540_1894656658_3088111979,2209371681_3760530914_1971597432_1293572136_2_0480704201,2,"关联到资源,",无线设备：CBN-龙岩武平-城厢下东C-HRHH-BBU1、龙岩武平城厢下东-HHM-G-BBU1、龙岩武平-城厢下东-HLH-BBU-1...等，传输设备：1861-下东、1026-下东、17201-下东...等，家宽设备：LOYWP城厢下东-OLT001-MA5680T(下沉),105,,,2026/4/10 12:57,开关电源,高兴新动力环境告警(旧),1,0:00:00,0,9,23:59:59,2,0,事件已清除,1419,12,300103,,0,1,,,1、核查是否工程操作；2、核查是否有动环监控设备通信异常告警；3.核实是否动环监控直流电压值门限异常；4、若以上条件均不满足，判断为开关电源整流模块故障导致,【故障原因初判】开关电源整流模块故障导致..【故障处理建议】请尽快上站更换整流模块。,网络影响：龙岩武平城厢下东一楼山头机房-开关电源-1；..机房下挂业务设备：无线设备：CBN-龙岩武平-城厢下东C-HRHH-BBU1、龙岩武平城厢下东-HHM-G-BBU1、龙岩武平-城厢下东-HLH-BBU-1...等，传输设备：1861-下东、1026-下东、17201-下东...等，家宽设备：LOYWP城厢下东-OLT001-MA5680T(下沉)..社会影响：暂无投诉。,定界结果：初判为开关电源整流模块故障导致；..定位结论：基站_龙岩市_全业务基站/汇聚节点_武平县_中兴开关电源。,龙岩武平城厢下东一楼山头机房,无影响,开关电源故障,,,,,,设备,电源开关设备类,否,无,动环,5011,3,系统抑制派单,,,,,2026/4/10 12:56,,,汇聚（普通汇聚）,,,1,,,,,,网络类,0,,,DEVICEROOM-NMS-0597-00531,1,,43,10,事件已清除,预A-动环-动环整流模块故障事件-120分钟-121新增,动力-无线机房,120,,9,1,1,,0,1,101,60,,,,0,1,,,,1,,
