ID,TXT
0,未确认
1,现网有业务承载
2,退网
3,工程
4,虚拟
5,现网无业务承载
6,退服状态
7,生成中
1000,规划状态
1100,未知状态
1200,工程实施状态
1201,工程有业务承载
1300,现网状态
1310,现网已交维状态
1320,现网未交维状态
1321,加强
1330,现网挂起
1400,现网容灾备份状态
1410,现网容灾备份交维状态
1420,现网容灾备份未交维状态
1500,现网工程状态
1501,工程测试状态
1590,工程-加强
1600,退网待删除状态
1700,退网状态
1800,test
9900,工程遗留状态
