1717,集客端到端监控网元
1718,数据业务监测
1719,超门限告警
1720,安全攻防设备
1721,信令监测网元
1722,网优工程参数缺失网元
1723,告警历时超长超短
1724,数据网综合维护平台
1725,WLAN_NMS
1726,BSC_LAN
1727,数据专业对象
1731,一级通信能力开放平台
1732,能力网元接入模块
1733,AAC
2001,SDH
2006,CTP
2007,MSAP
2008,WDM
2009,PTN
2010,PON
2011,OLT
2012,ONU
2013,POS
2014,photoelectric_converter
2032,NMS
2033,OLP
2034,OTN
2035,容器
2036,ROUTE_SEG
2050,BITS
2056,BUC
2057,Modem
2058,HPA
2059,UDC
2060,LNA
2061,Abis
2062,ACU
2063,NBI
2079,flexe
2080,otn-oduk
2081,otn-otuk
2082,frr
2083,ict
2084,vrrp
2100,传输网管
2101,话务网.ENUM-DNS系统
2221,数据网.基础承载网.IP承载网
2700,传输专业对象
3001,T-EMS
3003,ROUTE
3100,5GOMC
3101,AMF
3102,SMF
3103,UPF
3104,PCF
3105,UDM
3106,NRF
3107,NSSF
3111,RRU-NG
3112,UDR
3113,AUSF
3122,Centrex
3123,融合短信网关
3124,彩信ENUM
3125,智能网业务服务器
3126,IWF
3127,智能网能力网元
3128,SMSF
3129,CHF
3130,NSS
3131,5GMCSMSC
3132,5GMC
3133,5GMCDM
3134,5GMCSIP
3135,5GMCFS
3136,MAAP
3137,CSP
3144,AMF;MME;SGSN
3145,AMF;MME
3150,SMF;PGWC;SGWC;GGSNC
3151,SMF;PGWC;SGWC
3152,SMF;PGWC
3153,UPF;PGWU;SGWU;GGSNU
3171,数据网.业务承载网.ismg
3172,数据网.业务承载网.MAS
3173,数据网.增值承载网.ADC
3174,数据网.业务承载网.省级IDC网络
3175,手机动漫基地
3176,数据网.业务承载网.省级IDC业务IT资源池
3186,数据网.业务承载网.垃圾短信
3190,CRBTAS
3191,CRBTMEDIA
3201,GNodeB
3202,GNBCUCP
3203,GNBCUUP
3204,GNBDU
3221,数据网.业务承载网.彩信中心
3222,数据网.业务承载网.短信中心
3231,数据网.基础承载网.GPRS-CE
3232,软交换类CE系统
3233,新业务类CE系统
3241,数据网.业务承载网.DNS
3251,数据网.基础承载网.MDCN
3252,数据网.业务承载网.MISC
3253,数据网.业务承载网.USSD
3254,数据网.增值承载网.LBS
3255,数据网.业务承载网.流量经营平台
3261,数据网.业务承载网.WAP网关
3262,话音网.ENUM-DNS系统
3263,话务网.骚扰电话系统
3264,网管网.互联网运维
3268,话务网.智能网网络设备系统
3300,Gcell
3301,NRCellCU
3302,NRCellDU
3323,NPUDM
3327,UMF
3328,NCP
3911,网管网.网管网络
3921,网管网.省级网管系统.基础服务平台
3922,网管网.省级网管系统.基础服务平台.测试系统
3923,网管网.省级网管系统.基础服务平台.网管安全系统
3924,网管网.省级网管系统.网络支撑客服系统
3931,网管网.省级网管系统.信令监测系统
3941,网管网.省级网管系统.传输网管系统
3942,网管网.省级网管系统.数据网管系统
3943,网管网.省级网管系统.电子运维系统
3944,网管网.省级网管系统.综合分析系统
3945,网管网.省级网管系统.综合监控系统
3946,网管网.省级网管系统.综合资源系统
3947,网管网.省级网管系统.自动拨测系统
3948,网管网.省级网管系统.话务网管系统
3949,网管网.省级网管系统.话务网管系统.无线网优系统
3951,网管网.网管OMC系统.地市OMC
3952,网管网.网管OMC系统.华为OMC
3953,网管网.网管OMC系统.摩托LY_OMCR
3954,网管网.网管OMC系统.摩托ND_OMCR
3955,网管网.网管OMC系统.摩托NP_OMCR
3956,网管网.网管OMC系统.摩托OMCS
3957,网管网.网管OMC系统.摩托SM_OMCR
3958,网管网.网管OMC系统.诺西OMC
3960,数据网.业务承载网.日志留存
3961,网管网.省级网管系统.集中备份系统
3962,网管网.省级网管系统.其他系统
3963,"网管网.省级网管系统.网络数据集市
"
3965,网管网.省级网管系统.ESB系统
3966,网管网.省级网管系统.安全管控平台
3967,网管网.省级网管系统.电子地图平台
3968,网管网.省级网管系统.防病毒系统
3969,网管网.省级网管系统.集客支撑平台
3970,网管网.省级网管系统.门户系统
3971,网管网.省级网管系统.手机平台
3973,网管网.省级网管系统.网络激活
3974,网管网.省级网管系统.虚机管理系统
3975,话务网.Centrex系统
3976,话务网.HLR配套CE系统
3977,话务网.IMS核心接入网
3979,数据网.业务承载网.OTT
3980,数据网.业务承载网.WebCache
3981,网管网.省级网管系统.4A管控平台
3982,网管网.省级网管系统.ESB平台
3983,网管网.省级网管系统.FTP服务器
3984,网管网.省级网管系统.IT网管系统
3985,网管网.省级网管系统.IVR平台
3986,网管网.省级网管系统.专线故障管理系统
3987,网管网.省级网管系统.传输网管专业视图及辅助工具软件
3988,网管网.省级网管系统.传输指挥调度巡检系统
3989,网管网.省级网管系统.大屏系统
3990,网管网.省级网管系统.代维管理系统
3991,网管网.省级网管系统.地图引擎
3992,网管网.省级网管系统.动力网管系统
3993,网管网.省级网管系统.端到端专题分析
3994,网管网.省级网管系统.概览监控
3995,网管网.省级网管系统.管理系统
3996,网管网.省级网管系统.管线资源系统
3997,网管网.省级网管系统.互联网运维视图
3998,网管网.省级网管系统.集团客户侧统一接入OMC
3999,网管网.省级网管系统.集中故障管理系统
4000,网管网.省级网管系统.集中权限管理
4001,网管网.省级网管系统.宽带运维支撑系统
4002,网管网.省级网管系统.门户系统(二期)
4003,网管网.省级网管系统.门户系统(一期)
4004,网管网.省级网管系统.其他系统
4005,网管网.省级网管系统.全量投诉支撑系统
4006,网管网.省级网管系统.数据防泄漏系统
4007,网管网.省级网管系统.统一采集平台
4008,网管网.省级网管系统.网管网络
4009,网管网.省级网管系统.网管资源池
4010,网管网.省级网管系统.网络激活系统
4011,网管网.省级网管系统.网络数据集市
4012,网管网.省级网管系统.网优支撑平台
4013,网管网.省级网管系统.无线参数管理系统
4014,网管网.省级网管系统.系统终端认证
4015,网管网.省级网管系统.业务质量管理系统
4016,网管网.省级网管系统.业务资源系统
4017,网管网.省级网管系统.易运维平台
4018,网管网.省级网管系统.安全基础平台
4019,网管网.省级网管系统.综合告警系统
4020,网管网.网管OMC系统.OMC
4050,互联网.互联网电视系统
4051,互联网.互联网DPI
4052,互联网.互联网IDC
4054,省网管云平台
6000,plmn
6010,me(IMS)
6100,omc(IMS)
6101,PCSCF
6102,scscf
6103,icscf
6104,bgcf
6105,MRFC
6106,MRFP
6107,MGCF
6108,im_mgw
6109,HSS
6110,SLF
6111,cscf
6112,SBC
6114,sip_ag
6115,ATS
6116,SIPGW
6117,mmtel
6118,IAD
6119,VIG
6121,VIG_Server
6122,VIG_MGW
6127,Imssf
6128,AGCF
6130,CCF
6131,SGC
6132,BGW
6133,SCC
6134,Anchor
6135,Imscf
6141,Aproxy
6142,BSF
6144,IP_SMGW
6147,PSBC
6148,VoLTEAS
6149,ATGW
6150,ISBG
6151,cxitf
6152,dxitf
6153,shitf
6154,mpitf
6155,dhitf
6156,mnitf
6157,rfitf
6158,IGWB
6160,业务开通网关
6161,Ims_tg
6165,AG
6166,IMSHSS
6167,MXB
6168,SCPAS
6169,IPSTP
6170,PGMAS
6171,ISBC
6175,IBCF
6176,TrGW
6177,SBCC
6178,SBCU
6179,CRBTAS
6180,CRBTMEDIA
6181,CRBTCAP
6700,IMS系统
7000,MMCAS
7002,MRS
7101,性能_MSC
7102,性能_HLR
7107,ISTP
7108,LSTP
7109,HSTP
7111,SPN
7121,性能_SGSN
7122,性能_GGSN
7130,性能_MSCSERVER
7131,性能_MGW
7200,性能_BSC
7201,性能_BTS
7300,性能_CELL
7990,性能_TOUSU
8000,plmnNetwork(LTE)
8100,LTE_OMC
8101,MME
8102,sgw
8103,pgw
8104,ENodeB
8105,Eutrancell
8106,PCRF
8107,DRA
8108,SPR
8109,SAEGW
8111,LTE_RRU
8151,s6aitf
8152,s11itf
8153,s4itf
8154,s5s8itf
8156,s1uitf
8157,s1mmeitf
8158,diamlink
8159,diampair
8164,Segw
8165,Segw_Service_ip
8166,Hegw
8167,EutranVHegw
8168,s11uitf
8170,STPDRA
8171,IDRA
8172,UGW-E
8173,eSight-E
8174,YH Platform I
8177,SAEGWC
8178,SAEGWU
8179,SGWC
8180,PGWC
8181,SGWU
8182,PGWU
8189,EPCDNS
8190,ProxySGWC
8191,ProxySGWU
8192,4G小站
8205,2G基站
9107,RNS
9111,RRU-TD
9198,环境
9200,RNC
9201,NODEB
9300,UtranCell
9422,carrier
9999,虚拟节点
10000,省
10003,地市
10004,区县
10005,机房
10007,综合机楼
10008,网格
10009,机柜
10010,机框(LTE)
10011,Bordar
10015,lac
10086,集团
10130,软交换
11004,直放站
11028,SP
11037,诺基亚clearcode
11038,APN
11040,nbitf
11041,mcitf
11045,msc number
11065,数据库
11068,信令测试
11566,容器节点
11567,容器Pod
11568,容器集群
14003,BS
14004,TD
14005,KA(集团大客户专线)
14006,XC
14007,OIC
14008,DC
14009,IMC
14010,GC
14011,拨测
14012,GP
14013,NM
14014,M2000
14015,I2000
14020,磷酸铁锂蓄电池
14021,UMG
14022,动力环境-开关电源
14023,动力环境-UPS
14024,动力环境-蓄电池
14025,蓄电池组
14026,动力环境-高低压配电
14027,动力环境-空调
14028,其他设备
14029,动力环境-动力环境
14030,动力环境-采集设备
14031,动力环境-前置机
14032,动力环境-实时监控台
14033,动力环境-水浸
14034,动力环境-温湿度
14035,动力环境-烟感
14036,动力环境-门禁
14037,动力环境-门碰
14038,动力环境-红外
14042,变压器和调压器
14044,动力环境-高压配电柜
14050,自动电源切换柜
14082,中央空调（风冷）
14083,中央空调（水冷）
14084,专用空调（水冷）
14085,专用空调（通冷冻水型）
14087,直流配电箱(电屏)
14089,风能设备
14090,通风系统
14091,维护仪器仪表
14092,中央空调主机冷却系统
14093,稳压器
14094,交流配电箱(电屏)
14095,移动发电机
14096,逆变器
14097,机楼基站外电
14101,OAMServer
14102,彩铃I2000
14103,INFORMIX
14104,LINUX
14122,开机提醒
14123,G3业务
14124,FZSCP(SCOM)
14125,FZSMP(SCOM)
14126,THQM(彩印)
14309,OLP
14801,RSS新闻事件
14802,换热系统
14803,太阳能控制器
14804,太阳能设备
19702,AS
19712,FEP
19714,RBI
19803,监测仪
19804,干放
19805,多任务单元
19806,飞地系统
19807,网络隐患监控
19808,采集通道溢出文件
19809,网元超量告警
19810,超频告警
19811,告警历时超长超短告警
19812,基站轮询登陆异常网元
19813,V网短信
19814,虹翼监控告警
19815,告警定时派单
19816,EBSC
19817,直放站高频设备
19818,零流量零话务量小区
19819,网元性能告警
19820,零话务量小区三级告警
19821,诺西交换丢包率监测
19822,中信达通监控
19823,DNS_主动监控
19824,梦网网关_主动监控
19825,互联网关-联通
19826,互联网关-电信
19827,短信网关_主动监控
19828,东信北邮-增值业务平台网元
19829,东信北邮-增值业务平台衍生网元
19830,MMS_主动监控
19831,WAP_主动监控
19832,大值班KPI监控
20000,VME
20101,TSG
20102,MP
20103,AMP
20104,LIC
20105,IOC
20106,MSI
20107,DRI
20108,GPROC
20109,KSW
20110,GCLK
20111,TSM
20112,SPM
20113,CLM
20114,RCM
20115,DIP
20116,CP
20117,RP
20118,IOG
20119,APG
20120,AMU
20121,BSP
20122,CSFP
20123,LCF
20124,OMF
20125,EAS
20126,PSP
20127,GDS
20129,TBUS
20130,PBUS
20131,TDM
20132,PATH
20133,SSG
20134,CAP
20135,BAP
20136,CMY
20137,IOPMB
20138,ACCG
20139,ASMG
20140,PSAG
20141,GMXE
20142,AMXE
20143,ALIB
20144,CCG
20145,MBD
20146,USP
20147,SNT
20148,GSL
20149,PRP
20150,CGP
20151,USCDB
20152,SPG
20201,LTG
20202,IOPUNI
20203,IOPLAU
20205,EM
20206,CN
20207,IN
20301,DIU
20302,MOD
20303,MDD
20304,LAU
20320,MMSN
20321,OMU
20322,TMU
20323,CC
20324,SW8KRM
20325,ATMRM
20326,CEM
20327,LSARC
20328,IEM
20329,TDOMCR
