ID,TXT
1,国际
2,港澳
3,际专
4,省际一级
5,省际二级
6,省内二级
7,本地区间
8,本地区内
9,楼内
1401,跨地专线
1402,跨省专线
1403,本地专线
1404,国际专线
1405,港澳台专线
