序号,含义,备注,上线时间
0,halted,,
1,active,,
10,不在网优固表,,
11,网优固表（非在网）,,
12,网优固表（在网）,,
13,网优固表（白名单）,,
14,网优固表（白名单、非在网）,,
15,网优固表（在网-未交维）,,
16,网优固表（在网-已交维）,,
17,网优固表（在网-已单验）,,
18,网优固表（在网-已开通未单验）,,
19,网优固表（其他）,,
